Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples,
0,127,88,39,0,480547,22899,41164,40730,480547,
1,463,297,166,0,1830388,88227,158620,154004,1830388,
2,1156,776,360,0,4512970,219802,395175,380778,4427035,
3,1999,1421,570,0,7781551,378501,680478,665578,7756994,
4,2768,2006,750,0,10814052,525518,944801,922825,10759408,
5,3587,2613,970,0,13994279,680388,1223224,1201907,13979635,
6,4276,3120,1141,0,16694800,812572,1460884,1431043,16638261,
7,4909,3608,1299,0,19124047,930630,1673129,1644175,19118268,
8,5526,4057,1467,0,21447595,1042782,1874746,1840408,21439737,
9,6124,4489,1632,0,23793237,1157356,2080740,2044210,23783219,
10,6685,4914,1770,0,25975354,1264669,2273662,2233292,25973327,
11,7168,5292,1875,0,27836486,1354503,2435181,2391445,27834513,
12,7650,5660,1987,0,29653104,1442797,2593921,2544609,29641874,
13,8097,6003,2093,0,31384684,1527590,2746365,2694021,31382820,
14,8526,6333,2192,0,32986230,1607140,2889372,2833530,32984155,
15,8927,6648,2279,0,34517720,1682485,3024826,2966288,34517720,
16,9347,6967,2379,0,36147775,1763704,3170837,3108687,36145809,
17,9728,7267,2461,0,37603134,1834981,3298980,3234373,37603134,
18,10084,7538,2545,0,39156824,1908055,3430363,3361474,39152686,
19,10423,7797,2625,0,40516980,1974915,3550572,3479614,40508028,
20,10741,8058,2682,0,41802576,2036935,3662084,3590227,41800049,
21,11032,8276,2754,0,42915947,2090845,3758999,3684816,42904962,
22,11315,8503,2810,0,44017442,2144889,3856164,3780432,44011738,
23,11597,8714,2881,0,45990921,2230426,4010006,3875929,45080184,
24,11840,8901,2938,0,46938291,2277955,4095469,3961361,46029638,
25,12060,9072,2987,0,47760221,2318369,4168123,4033619,46851568,
26,12268,9240,3027,0,48526692,2357388,4238274,4101661,47618039,
27,12457,9388,3067,0,49231654,2391403,4299421,4161039,48320908,
28,12627,9506,3118,0,52405231,2500310,4495383,4221831,49158902,
29,12791,9629,3159,0,53013587,2530715,4550039,4275304,49766795,
30,12940,9747,3191,0,53549141,2557178,4597612,4321369,50305626,
31,13080,9860,3217,0,54069643,2583330,4644627,4367807,50823903,
32,13184,9933,3248,0,54553628,2605789,4685015,4407760,51305281,
33,13304,10033,3269,0,55107664,2631600,4731428,4455988,51864149,
34,13432,10135,3294,0,57448476,2718289,4887417,4503523,52391867,
35,13547,10228,3316,0,57905057,2740551,4927441,4543316,52848448,
36,13640,10306,3331,0,58269912,2757911,4958651,4575455,53213303,
37,13727,10383,3341,0,58888650,2781610,5001275,4620909,53832041,
38,13808,10450,3354,0,59197220,2796571,5028176,4647338,54137265,
39,13881,10510,3367,0,59455892,2809218,5050911,4670099,54397134,
40,13948,10560,3385,0,59733122,2822757,5075253,4694351,54676513,
41,14015,10611,3401,0,60009192,2835636,5098406,4718176,54952583,
42,14084,10661,3419,0,60260645,2848269,5121116,4739894,55197475,
43,14144,10709,3432,0,60489231,2858810,5140069,4759743,55432622,
44,14212,10765,3443,0,60758182,2872204,5164151,4783766,55698637,
45,14269,10814,3451,0,61001914,2884446,5186159,4805438,55942608,
46,14318,10852,3463,0,61219486,2894969,5205080,4824915,56162877,
47,14347,10875,3469,0,61307355,2899402,5213045,4832804,56250746,
48,14394,10911,3480,0,61486767,2908205,5228870,4848973,56430158,
49,14417,10931,3483,0,61585037,2912728,5237004,4856882,56528428,
50,14440,10950,3487,0,61675665,2917264,5245158,4865133,56619056,
51,14479,10983,3492,0,61840403,2925399,5259784,4879455,56781740,
52,14514,11016,3495,0,61970344,2932021,5271688,4891352,56913735,
53,14538,11039,3496,0,62061587,2936821,5280318,4899999,57004978,
54,14570,11070,3497,0,62182107,2943034,5291488,4911613,57125498,
55,14593,11087,3503,0,62273653,2947569,5299641,4919691,57217044,
56,14617,11108,3506,0,62363921,2951967,5307548,4927383,57307312,
57,14626,11117,3506,0,62407012,2954294,5311734,4931734,57350403,
58,14635,11125,3507,0,62436239,2955761,5314371,4934452,57379630,
59,14653,11139,3511,0,62508296,2959004,5320202,4940269,57451687,
60,14666,11149,3514,0,62559445,2961615,5324897,4944942,57502836,
61,14686,11167,3516,0,62628453,2965184,5331314,4951366,57571844,
62,14710,11189,3517,0,62707087,2969297,5338707,4958573,57647903,
63,14725,11199,3523,0,62760928,2971715,5343052,4962953,57704319,
64,14740,11213,3524,0,62828273,2975284,5349471,4969569,57771664,
65,14746,11219,3524,0,62854975,2976719,5352050,4972163,57798366,
66,14752,11222,3527,0,62884355,2977905,5354183,4974494,57827746,
67,14756,11225,3528,0,62906073,2978894,5355962,4976203,57849464,
68,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
69,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
70,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
71,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
72,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
73,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
74,14765,11233,3529,0,62934394,2980333,5358548,4978716,57877785,
75,14768,11236,3529,0,62950855,2981211,5360127,4980362,57894246,
76,14770,11237,3530,0,62956096,2981486,5360621,4980838,57899487,
77,14771,11237,3531,0,62958785,2981632,5360883,4981160,57902176,
78,14773,11239,3531,0,62966684,2982038,5361613,4981905,57910075,
79,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
80,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
81,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
82,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
83,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
84,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
85,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
86,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
87,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
88,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
89,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
90,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
91,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
92,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
93,14775,11240,3532,0,62974558,2982413,5362287,4982581,57917949,
94,14779,11243,3533,0,62987847,2983100,5363522,4983869,57931238,
95,14784,11248,3533,0,63009515,2984228,5365551,4985738,57952906,
96,14789,11253,3533,0,63030438,2985340,5367551,4987704,57973829,
97,14792,11256,3533,0,63050882,2986469,5369582,4989834,57994273,
98,14798,11261,3534,0,63068269,2987338,5371145,4991404,58011660,
99,14801,11262,3536,0,63084427,2988125,5372560,4992917,58027818,
100,14808,11268,3537,0,63118276,2989914,5375776,4996123,58061667,
101,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
102,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
103,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
104,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
105,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
106,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
107,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
108,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
109,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
110,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
111,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
112,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
113,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
114,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
115,14814,11274,3540,0,63145327,2991372,5378398,5217861,63145327,
